model,task,accuracy,precision,recall,f1_score,weighted_f1,roc_auc,mae,rmse,r2
RandomForest_features,stress_or_quality_classification,1.0,1.0,1.0,1.0,1.0,,,,
GradientBoosting_features,stress_or_quality_classification,1.0,1.0,1.0,1.0,1.0,,,,
RandomForest_BP_regression,bp_regression,,,,,,,1.7737289519449266,2.044658625960488,0.0
CNNLSTM_raw_windows,stress_or_quality_classification,0.75,1.0,0.75,0.8571428571428571,0.8571428571428571,,,,
SSL_encoder_finetuned,stress_or_quality_classification,1.0,1.0,1.0,1.0,1.0,,,,
SpectrogramCNN_stress,stress_or_quality_classification,0.0,0.0,0.0,0.0,0.0,,,,
